target,Age,Maori,Sex,Area,target_binary
2,18-29,No,Female,Matamata-Piako District,0
2,40-49,No,Female,Porirua City,0
2,30-39,No,Female,Auckland,0
3,50-64,No,Female,Christchurch City,0
1,40-49,No,Male,Lower Hutt City,0
1,50-64,Yes,Female,Palmerston North City,0
3,40-49,No,Female,Dunedin City,0
1,40-49,No,Male,Hastings District,0
3,40-49,No,Female,Hamilton City,0
3,30-39,No,Male,Auckland,0
3,40-49,No,Female,Lower Hutt City,0
5,30-39,Yes,Male,Manawatu District,1
4,30-39,No,Female,Wellington City,1
4,40-49,No,Female,Far North District,1
2,50-64,No,Female,Western Bay of Plenty District,0
4,40-49,No,Female,Auckland,1
3,40-49,No,Male,Marlborough District,0
3,65+,No,Female,New Plymouth District,0
1,18-29,No,Female,Christchurch City,0
3,40-49,Yes,Male,Whangarei District,0
4,65+,No,Male,Wellington City,1
5,18-29,Yes,Female,Nelson City,1
1,65+,No,Female,Selwyn District,0
3,40-49,No,Female,Auckland,0
2,30-39,No,Female,Nelson City,0
1,30-39,No,Female,Waikato District,0
1,50-64,No,Male,Waimakariri District,0
4,18-29,No,Female,Wellington City,1
3,40-49,No,Male,Hamilton City,0
5,50-64,No,Female,Auckland,1
4,30-39,Yes,Female,Wellington City,1
1,50-64,No,Male,Marlborough District,0
3,40-49,No,Male,Christchurch City,0
4,18-29,No,Female,Auckland,1
1,40-49,No,Female,Hastings District,0
2,50-64,No,Female,Hamilton City,0
4,30-39,No,Female,Selwyn District,1
1,40-49,No,Female,South Taranaki District,0
1,18-29,No,Female,Auckland,0
5,30-39,No,Male,Christchurch City,1
3,18-29,No,Female,Auckland,0
3,30-39,No,Female,Waimakariri District,0
3,18-29,No,Female,Selwyn District,0
4,50-64,No,Male,South Waikato District,1
4,18-29,No,Female,Lower Hutt City,1
3,50-64,No,Female,Auckland,0
2,50-64,No,Female,Hastings District,0
4,40-49,No,Female,Auckland,1
3,30-39,No,Female,Auckland,0
3,50-64,No,Female,Gisborne District,0
5,50-64,Yes,Female,Auckland,1
2,65+,No,Female,Auckland,0
3,50-64,No,Male,Wellington City,0
1,30-39,No,Male,Kawerau District,0
3,18-29,No,Male,Hamilton City,0
3,30-39,No,Male,Auckland,0
2,18-29,No,Male,Wellington City,0
3,50-64,No,Female,Auckland,0
4,18-29,No,Female,South Waikato District,1
5,40-49,No,Male,Dunedin City,1
2,40-49,No,Male,Waimakariri District,0
3,30-39,No,Female,Auckland,0
5,18-29,No,Female,Christchurch City,1
2,50-64,No,Male,Auckland,0
3,50-64,No,Female,Waipa District,0
1,50-64,No,Female,Gore District,0
3,50-64,No,Female,Porirua City,0
1,50-64,No,Female,Tauranga City,0
5,30-39,Yes,Female,Auckland,1
3,50-64,No,Female,Auckland,0
3,18-29,No,Female,Christchurch City,0
4,50-64,No,Male,Christchurch City,1
3,40-49,Yes,Female,Nelson City,0
3,18-29,No,Female,Western Bay of Plenty District,0
1,18-29,No,Male,Wellington City,0
3,18-29,Yes,Male,Christchurch City,0
2,65+,No,Male,New Plymouth District,0
3,50-64,No,Female,Kapiti Coast District,0
3,40-49,No,Male,Porirua City,0
4,18-29,No,Male,Auckland,1
3,18-29,No,Male,Kapiti Coast District,0
3,18-29,No,Female,Auckland,0
3,40-49,Yes,Female,Tauranga City,0
2,18-29,No,Male,Auckland,0
2,30-39,No,Male,Kapiti Coast District,0
2,65+,No,Male,Porirua City,0
3,30-39,No,Male,Lower Hutt City,0
4,40-49,No,Male,Hamilton City,1
3,65+,No,Male,Auckland,0
4,50-64,No,Female,Whakatane District,1
3,18-29,No,Female,Rangitikei District,0
3,18-29,No,Female,Auckland,0
1,40-49,Yes,Female,Auckland,0
3,50-64,No,Female,Christchurch City,0
3,18-29,No,Female,Ruapehu District,0
3,18-29,Yes,Male,Hamilton City,0
3,50-64,No,Male,Tasman District,0
5,30-39,No,Male,Christchurch City,1
4,18-29,No,Female,Auckland,1
4,18-29,Yes,Female,Auckland,1
3,50-64,No,Female,Auckland,0
4,30-39,No,Male,Whangarei District,1
1,65+,No,Female,Tauranga City,0
3,65+,No,Female,Auckland,0
2,18-29,No,Male,Waikato District,0
4,50-64,No,Female,Auckland,1
1,40-49,No,Female,Christchurch City,0
4,65+,No,Female,Western Bay of Plenty District,1
5,50-64,No,Female,Auckland,1
5,18-29,No,Female,Auckland,1
1,50-64,No,Male,Auckland,0
3,50-64,No,Female,Wellington City,0
5,30-39,No,Female,Central Otago District,1
3,18-29,No,Male,Nelson City,0
2,40-49,No,Male,Nelson City,0
1,18-29,No,Female,Wellington City,0
2,18-29,Yes,Female,Lower Hutt City,0
1,50-64,No,Male,Auckland,0
4,50-64,No,Female,Auckland,1
4,18-29,No,Female,Christchurch City,1
3,30-39,No,Male,Auckland,0
3,50-64,No,Male,Tauranga City,0
2,50-64,No,Female,Clutha District,0
3,50-64,No,Male,Whanganui District,0
2,30-39,No,Female,Kapiti Coast District,0
3,65+,No,Female,Whanganui District,0
2,30-39,No,Male,Invercargill City,0
3,50-64,No,Female,Auckland,0
3,18-29,No,Male,Auckland,0
3,30-39,No,Male,Lower Hutt City,0
3,50-64,Yes,Female,Auckland,0
3,18-29,No,Male,Wellington City,0
5,50-64,No,Male,Auckland,1
2,50-64,No,Female,Wairoa District,0
4,50-64,No,Male,Auckland,1
5,18-29,Yes,Male,Manawatu District,1
1,65+,No,Male,Kaipara District,0
3,30-39,No,Female,Wellington City,0
3,30-39,No,Female,Waipa District,0
1,50-64,No,Male,Far North District,0
3,40-49,No,Female,Timaru District,0
2,50-64,No,Female,Thames-Coromandel District,0
5,18-29,No,Male,Auckland,1
2,30-39,No,Female,Wellington City,0
1,65+,No,Female,Waimate District,0
1,18-29,No,Female,Auckland,0
3,40-49,Yes,Female,Waikato District,0
4,50-64,No,Male,Auckland,1
4,18-29,No,Female,Masterton District,1
3,50-64,No,Male,New Plymouth District,0
3,40-49,No,Female,Wellington City,0
4,30-39,Yes,Female,Tauranga City,1
3,50-64,No,Female,Auckland,0
2,50-64,No,Male,Auckland,0
1,30-39,No,Male,Auckland,0
2,40-49,No,Male,Auckland,0
2,30-39,No,Female,Wellington City,0
1,40-49,No,Male,Nelson City,0
3,18-29,No,Male,Auckland,0
2,65+,No,Male,Hamilton City,0
3,65+,No,Male,Whakatane District,0
2,40-49,No,Female,Waipa District,0
3,50-64,No,Female,Waipa District,0
2,30-39,Yes,Female,Kaipara District,0
2,50-64,No,Male,Hamilton City,0
2,18-29,No,Female,Waimakariri District,0
3,40-49,No,Female,Porirua City,0
3,65+,No,Female,Waitaki District,0
2,65+,No,Male,Hauraki District,0
5,50-64,No,Male,Far North District,1
2,30-39,No,Male,Marlborough District,0
3,65+,No,Male,Waimakariri District,0
4,65+,No,Female,Christchurch City,1
1,65+,No,Male,Dunedin City,0
3,40-49,No,Female,Christchurch City,0
4,65+,No,Female,Christchurch City,1
1,18-29,No,Male,Ashburton District,0
2,30-39,No,Male,Horowhenua District,0
3,50-64,No,Male,Hastings District,0
1,18-29,No,Male,Dunedin City,0
4,30-39,Yes,Female,Auckland,1
1,65+,No,Female,Southland District,0
3,40-49,No,Male,Selwyn District,0
1,30-39,No,Male,Ashburton District,0
4,30-39,No,Female,Wellington City,1
4,18-29,Yes,Female,Napier City,1
5,50-64,No,Female,Auckland,1
3,65+,No,Male,Kapiti Coast District,0
4,65+,No,Female,Auckland,1
3,50-64,No,Male,Auckland,0
3,50-64,No,Female,Auckland,0
3,18-29,No,Female,Christchurch City,0
3,30-39,No,Male,Dunedin City,0
4,18-29,No,Male,Central Hawke's Bay District,1
2,30-39,No,Male,Christchurch City,0
5,30-39,Yes,Male,Wellington City,1
3,18-29,No,Male,Dunedin City,0
4,18-29,No,Female,Auckland,1
3,18-29,No,Male,Western Bay of Plenty District,0
2,50-64,No,Female,Auckland,0
3,50-64,No,Male,Rotorua District,0
1,18-29,No,Male,Auckland,0
3,65+,No,Male,Tasman District,0
3,40-49,No,Female,Auckland,0
3,40-49,No,Male,Wellington City,0
