Area,Ethnic group,Sex,Maori,Age,count,pred_cells
Central Hawke's Bay District,Maori,Female,Yes,65+,87,0.3508403903529594
Central Hawke's Bay District,Maori,Male,Yes,18-29,212,0.5133200870291035
Central Hawke's Bay District,Maori,Male,Yes,30-39,129,0.4102793757467729
Central Hawke's Bay District,Maori,Male,Yes,40-49,147,0.33745201366176325
Central Hawke's Bay District,Maori,Male,Yes,50-64,207,0.3088589369278332
Central Hawke's Bay District,Maori,Male,Yes,65+,57,0.27899167752250414
Central Hawke's Bay District,Non-Maori,Female,No,18-29,425,0.26042193900320243
Central Hawke's Bay District,Non-Maori,Female,No,30-39,531,0.1884856474290924
Central Hawke's Bay District,Non-Maori,Female,No,40-49,735,0.1453261627592856
Central Hawke's Bay District,Non-Maori,Female,No,50-64,1326,0.1298225177275155
Central Hawke's Bay District,Non-Maori,Female,No,65+,1017,0.11440262791060395
Central Hawke's Bay District,Non-Maori,Male,No,18-29,473,0.20134677341888854
Central Hawke's Bay District,Non-Maori,Male,No,30-39,528,0.14258280228896567
Central Hawke's Bay District,Non-Maori,Male,No,40-49,687,0.10852848551204759
Central Hawke's Bay District,Non-Maori,Male,No,50-64,1248,0.0965072085385829
Central Hawke's Bay District,Non-Maori,Male,No,65+,1041,0.08465941723550914
Central Otago District,Maori,Female,Yes,18-29,109,0.5768519824084554
Central Otago District,Maori,Female,Yes,30-39,66,0.47346498607479426
Central Otago District,Maori,Female,Yes,40-49,93,0.39697174071246993
Central Otago District,Maori,Female,Yes,50-64,75,0.36612230453108746
Central Otago District,Maori,Female,Yes,65+,30,0.3333887038590523
Central Otago District,Maori,Male,Yes,18-29,95,0.49393583754022813
Central Otago District,Maori,Male,Yes,30-39,63,0.39165486496870544
Central Otago District,Maori,Male,Yes,40-49,81,0.320337664994902
Central Otago District,Maori,Male,Yes,50-64,78,0.2925544037783441
Central Otago District,Maori,Male,Yes,65+,36,0.2636623391741149
Central Otago District,Non-Maori,Female,No,18-29,677,0.23808816730063118
Central Otago District,Non-Maori,Female,No,30-39,897,0.17089558836959237
Central Otago District,Non-Maori,Female,No,40-49,1197,0.13111312767557248
Central Otago District,Non-Maori,Female,No,50-64,2133,0.11691832966354893
Central Otago District,Non-Maori,Female,No,65+,1875,0.10284999832113542
Central Otago District,Non-Maori,Male,No,18-29,798,0.18282687782221202
Central Otago District,Non-Maori,Male,No,30-39,828,0.1285977004388944
Central Otago District,Non-Maori,Male,No,40-49,1092,0.09750373059253725
Central Otago District,Non-Maori,Male,No,50-64,2052,0.08658501550881582
Central Otago District,Non-Maori,Male,No,65+,1869,0.07585306426914766
Christchurch City,Maori,Female,Yes,18-29,2882,0.6632299970643354
Christchurch City,Maori,Female,Yes,30-39,1728,0.5650340119066859
Christchurch City,Maori,Female,Yes,40-49,1653,0.48744238966538445
Christchurch City,Maori,Female,Yes,50-64,1542,0.45486553873167646
Christchurch City,Maori,Female,Yes,65+,594,0.41944793857654633
Christchurch City,Maori,Male,Yes,18-29,2955,0.5850647687294379
Christchurch City,Maori,Male,Yes,30-39,1686,0.4818820824788129
Christchurch City,Maori,Male,Yes,40-49,1701,0.40507514538513506
Christchurch City,Maori,Male,Yes,50-64,1728,0.3739865252033166
Christchurch City,Maori,Male,Yes,65+,606,0.34092797875510733
Christchurch City,Non-Maori,Female,No,18-29,25448,0.33379865564521755
Christchurch City,Non-Maori,Female,No,30-39,20406,0.2484011995552606
Christchurch City,Non-Maori,Female,No,40-49,23535,0.19481579806366758
Christchurch City,Non-Maori,Female,No,50-64,31434,0.17511425977594178
Christchurch City,Non-Maori,Female,No,65+,27921,0.15527470434879617
